alsa-firmware 1.2.4-4
ntp 4.2.8.p18-6
nwg-look 1.0.6-1
obsidian 1.12.7-1
oneko 1.2.5-6
openconnect 1:9.12-4
openvpn 2.7.1-1
os-prober 1.84-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
pamtester 0.1.2-4
papirus-icon-theme 20250501-1
pavucontrol 1:6.2-1
pdfcrack 0.21-1
perl 5.42.2-1
perl-anyevent-i3 0.19-3
perl-json-xs 4.04-1
pipes.sh 1.3.0-1
pipewire-alsa 1:1.6.3-1
pipewire-jack 1:1.6.3-1
pipewire-pulse 1:1.6.3-1
pkgfile 25-2
plasma-firewall 6.6.4-1
plasma-systemmonitor 6.6.4-1
plocate 1.1.24-1
polkit-gnome 0.105-12
polkit-kde-agent 6.6.4-1
polybar 3.7.2-2
poppler-glib 26.04.0-1
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pptpclient 1.10.0-3
pyright 1.1.407-1
python-capng 0.9.3-1
python-packaging 26.1-1
python-pikepdf 10.5.1-1
python-pip 26.0.1-1
python-pyqt5 5.15.11-7
python-sphinx-inline-tabs 2023.04.21-5
qt5-imageformats 5.15.18+kde+r2-1
rclone 1.73.4-1
reaver 1.6.6-2
rebuild-detector 4.4.5-1
reflector 2023-5
reflector-simple 2026.1-1
rofi 2.0.0-1
rp-pppoe 4.0-5
rsync 3.4.1-2
rtkit 0.14-1
rustup 1.29.0-2
s-nail 14.9.25-1
seahorse 1:47.0.1-6
sg3_utils 1.48-1
shotwell 2:0.32.15-2
simde 0.8.2-1
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
spotify 1:1.2.86.502-1
spotify-player 0.23.0-1
sshfs 3.7.5-1
starship 1.25.0-1
stow 2.4.1-1
stremio-enhanced-bin 1.1.4-1
sudo 1.9.17.p2-2
sway 1:1.11-1
swaybg 1.2.2-1
swaync 0.12.6-1
syncthing 2.0.16-2
sysfsutils 2.1.1-2
systemd-sysvcompat 260.1-1
telegram-desktop 6.7.6-1
texinfo 7.3-1
texlive-latex 2026.1-1
thunar 4.20.8-3
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-vcs-plugin 0.4.0-1
thunar-volman 4.20.0-2
tk 8.6.16-1
tldr 3.4.4-1
tmux 3.6_a-1
tofi 0.9.1-2
traceroute 2.1.6-1
trash-cli 0.24.5.26-3
tree 2.3.2-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-hack-nerd 3.4.0-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-opensans 3.003-1
tumbler 4.20.1-1
ufw 0.36.2-7
umockdev 0.19.2-1
unrar 1:7.2.5-1
unzip 6.0-23
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
viu 1.6.1-2
vlc 3.0.22-3
vlc-gui-ncurses 3.0.22-3
vlc-gui-skins2 3.0.22-3
vlc-plugin-aalib 3.0.22-3
vlc-plugin-aom 3.0.22-3
vlc-plugin-archive 3.0.22-3
vlc-plugin-aribb24 3.0.22-3
vlc-plugin-aribb25 3.0.22-3
vlc-plugin-ass 3.0.22-3
vlc-plugin-avahi 3.0.22-3
vlc-plugin-bluray 3.0.22-3
vlc-plugin-caca 3.0.22-3
vlc-plugin-cddb 3.0.22-3
vlc-plugin-chromecast 3.0.22-3
vlc-plugin-dca 3.0.22-3
vlc-plugin-dvb 3.0.22-3
vlc-plugin-dvd 3.0.22-3
vlc-plugin-ffmpeg 3.0.22-3
vlc-plugin-firewire 3.0.22-3
vlc-plugin-fluidsynth 3.0.22-3
vlc-plugin-freetype 3.0.22-3
vlc-plugin-gme 3.0.22-3
vlc-plugin-gstreamer 3.0.22-3
vlc-plugin-jack 3.0.22-3
vlc-plugin-kate 3.0.22-3
vlc-plugin-kwallet 3.0.22-3
vlc-plugin-libsecret 3.0.22-3
vlc-plugin-lirc 3.0.22-3
vlc-plugin-live555 3.0.22-3
vlc-plugin-mad 3.0.22-3
vlc-plugin-matroska 3.0.22-3
vlc-plugin-mdns 3.0.22-3
vlc-plugin-modplug 3.0.22-3
vlc-plugin-mpeg2 3.0.22-3
vlc-plugin-mtp 3.0.22-3
vlc-plugin-musepack 3.0.22-3
vlc-plugin-nfs 3.0.22-3
vlc-plugin-notify 3.0.22-3
vlc-plugin-ogg 3.0.22-3
vlc-plugin-quicksync 3.0.22-3
vlc-plugin-samplerate 3.0.22-3
vlc-plugin-sdl 3.0.22-3
vlc-plugin-sftp 3.0.22-3
vlc-plugin-smb 3.0.22-3
vlc-plugin-soxr 3.0.22-3
vlc-plugin-srt 3.0.22-3
vlc-plugin-svg 3.0.22-3
vlc-plugin-udev 3.0.22-3
vlc-plugin-upnp 3.0.22-3
vlc-plugin-x264 3.0.22-3
vlc-plugin-x265 3.0.22-3
vlc-plugin-zvbi 3.0.22-3
vlc-plugins-all 3.0.22-3
vlc-plugins-extra 3.0.22-3
